iter	Passed	Remaining
1165	46034	32926
1166	46070	32884
1167	46107	32843
1168	46143	32801
1169	46180	32760
1170	46211	32715
1171	46247	32673
1172	46281	32629
1173	46313	32585
1174	46350	32543
1175	46385	32501
1176	46423	32460
1177	46456	32416
1178	46490	32374
1179	46516	32324
1180	46549	32281
1181	46585	32239
1182	46618	32195
1183	46651	32151
1184	46685	32108
1185	46718	32064
1186	46751	32020
1187	46785	31977
1188	46824	31938
1189	46859	31895
1190	46894	31853
1191	46933	31814
1192	46971	31773
1193	47008	31732
1194	47043	31690
1195	47078	31648
1196	47113	31605
1197	47151	31565
1198	47188	31524
1199	47225	31483
1200	47275	31451
1201	47311	31409
1202	47346	31367
1203	47382	31325
1204	47412	31280
1205	47448	31239
1206	47482	31196
1207	47515	31152
1208	47551	31110
1209	47585	31068
1210	47624	31028
1211	47657	30985
1212	47693	30943
1213	47726	30900
1214	47764	30860
1215	47797	30817
1216	47834	30776
1217	47871	30735
1218	47910	30695
1219	47944	30653
1220	47976	30608
1221	48012	30567
1222	48050	30527
1223	48085	30485
1224	48121	30444
1225	48158	30403
1226	48203	30367
1227	48242	30328
1228	48289	30293
1229	48329	30255
1230	48364	30213
1231	48399	30171
1232	48435	30129
1233	48471	30088
1234	48513	30051
1235	48550	30009
1236	48586	29969
1237	48623	29928
1238	48695	29909
1239	48741	29874
1240	48779	29833
1241	48816	29793
1242	48854	29752
1243	48889	29711
1244	48925	29669
1245	48958	29626
1246	48996	29586
1247	49035	29546
1248	49075	29508
1249	49111	29466
1250	49150	29427
1251	49186	29385
1252	49221	29344
1253	49262	29306
1254	49300	29265
1255	49333	29222
1256	49365	29179
1257	49400	29137
1258	49437	29097
1259	49471	29054
1260	49506	29012
1261	49540	28970
1262	49573	28927
1263	49609	28886
1264	49645	28845
1265	49685	28806
1266	49720	28765
1267	49755	28723
1268	49792	28682
1269	49827	28640
1270	49866	28601
1271	49901	28560
1272	49950	28526
1273	49986	28485
1274	50019	28442
1275	50058	28403
1276	50090	28360
1277	50129	28320
1278	50162	28277
1279	50197	28235
1280	50231	28194
1281	50268	28153
1282	50302	28111
1283	50339	28070
1284	50371	28027
1285	50409	27988
1286	50442	27945
1287	50475	27902
1288	50506	27859
1289	50544	27818
1290	50582	27779
1291	50615	27736
1292	50651	27695
1293	50686	27654
1294	50720	27612
1295	50757	27571
1296	50792	27530
1297	50824	27487
1298	50857	27444
1299	50888	27401
1300	50920	27358
1301	50952	27315
1302	50984	27272
1303	51017	27230
1304	51050	27187
1305	51086	27147
1306	51120	27105
1307	51157	27064
1308	51193	27024
1309	51229	26983
1310	51264	26942
1311	51298	26900
1312	51331	26858
1313	51367	26817
1314	51399	26774
1315	51431	26731
1316	51463	26689
1317	51499	26648
1318	51533	26606
1319	51565	26564
1320	51598	26521
1321	51632	26480
1322	51668	26439
1323	51704	26398
1324	51738	26357
1325	51775	26317
1326	51810	26275
1327	51845	26235
1328	51884	26195
1329	51919	26154
1330	51953	26113
1331	51990	26073
1332	52023	26031
1333	52062	25992
1334	52095	25950
1335	52131	25909
1336	52168	25869
1337	52203	25828
1338	52229	25783
1339	52261	25740
1340	52293	25698
1341	52329	25657
1342	52362	25615
1343	52399	25576
1344	52447	25541
1345	52481	25500
1346	52521	25461
1347	52554	25419
1348	52589	25378
1349	52625	25338
1350	52661	25297
1351	52693	25255
1352	52728	25214
1353	52765	25174
1354	52802	25134
1355	52838	25094
1356	52876	25055
1357	52910	25013
1358	52946	24973
1359	52985	24934
1360	53026	24896
1361	53061	24855
1362	53102	24817
1363	53144	24779
1364	53182	24740
1365	53220	24700
1366	53258	24661
1367	53297	24622
1368	53340	24585
1369	53374	24544
1370	53410	24504
1371	53449	24465
1372	53485	24425
1373	53520	24384
1374	53562	24346
1375	53605	24309
1376	53647	24271
1377	53687	24233
1378	53722	24192
1379	53758	24152
1380	53795	24112
1381	53836	24074
1382	53876	24036
1383	53913	23996
1384	53949	23955
1385	53984	23915
1386	54027	23878
1387	54061	23836
1388	54099	23797
1389	54143	23760
1390	54180	23720
1391	54214	23679
1392	54251	23640
1393	54285	23598
1394	54319	23558
1395	54356	23518
1396	54392	23477
1397	54426	23436
1398	54459	23395
1399	54492	23354
1400	54536	23317
1401	54571	23276
1402	54615	23239
1403	54651	23199
1404	54692	23161
1405	54726	23120
1406	54764	23081
1407	54807	23044
1408	54846	23005
1409	54880	22964
1410	54918	22925
1411	54957	22885
1412	54993	22845
1413	55029	22805
1414	55066	22766
1415	55108	22728
1416	55146	22688
1417	55180	22648
1418	55211	22606
1419	55249	22566
1420	55286	22527
1421	55321	22486
1422	55357	22446
1423	55395	22407
1424	55427	22365
1425	55465	22326
1426	55499	22285
1427	55533	22244
1428	55569	22204
1429	55608	22165
1430	55647	22126
1431	55680	22085
1432	55717	22045
1433	55749	22004
1434	55782	21963
1435	55814	21921
1436	55849	21881
1437	55882	21840
1438	55917	21799
1439	55952	21759
1440	55985	21718
1441	56022	21678
1442	56055	21637
1443	56094	21598
1444	56126	21557
1445	56161	21517
1446	56197	21477
1447	56230	21435
1448	56265	21395
1449	56301	21355
1450	56337	21315
1451	56371	21275
1452	56408	21235
1453	56443	21195
1454	56481	21156
1455	56517	21116
1456	56552	21076
1457	56593	21038
1458	56632	20999
1459	56666	20958
1460	56701	20918
1461	56734	20877
1462	56767	20836
1463	56804	20797
1464	56836	20756
1465	56870	20715
1466	56901	20673
1467	56935	20633
1468	56970	20593
1469	57005	20553
1470	57039	20512
1471	57077	20473
1472	57110	20432
1473	57142	20391
1474	57172	20349
1475	57244	20322
1476	57293	20287
1477	57334	20249
1478	57373	20210
1479	57404	20169
1480	57436	20127
1481	57470	20087
1482	57506	20047
1483	57542	20008
1484	57582	19969
1485	57619	19930
1486	57653	19889
1487	57691	19850
1488	57743	19816
1489	57785	19778
1490	57824	19740
1491	57857	19699
1492	57888	19658
1493	57921	19617
1494	57956	19577
1495	57990	19537
1496	58027	19497
1497	58060	19456
1498	58093	19416
1499	58129	19376
1500	58166	19337
1501	58202	19297
1502	58233	19256
1503	58268	19216
1504	58301	19175
1505	58336	19135
1506	58374	19096
1507	58408	19056
1508	58444	19016
1509	58476	18975
1510	58510	18935
1511	58542	18894
1512	58575	18854
1513	58614	18815
1514	58650	18775
1515	58688	18736
1516	58725	18697
1517	58760	18657
1518	58791	18616
1519	58829	18577
1520	58864	18537
1521	58899	18498
1522	58931	18457
1523	58963	18416
1524	58996	18375
1525	59028	18335
1526	59061	18294
1527	59094	18254
1528	59127	18214
1529	59160	18173
1530	59198	18134
1531	59230	18093
1532	59263	18053
1533	59298	18013
1534	59332	17973
1535	59369	17934
1536	59402	17894
1537	59435	17853
1538	59468	17813
1539	59499	17772
1540	59539	17734
1541	59573	17694
1542	59611	17655
1543	59643	17614
1544	59678	17575
1545	59715	17536
1546	59747	17495
1547	59781	17455
1548	59820	17417
1549	59853	17376
1550	59885	17336
1551	59918	17296
1552	59953	17256
1553	59986	17216
1554	60020	17176
1555	60055	17136
1556	60088	17096
1557	60122	17056
1558	60158	17017
1559	60187	16975
1560	60220	16935
1561	60255	16896
1562	60292	16857
1563	60326	16817
1564	60359	16777
1565	60393	16737
1566	60426	16697
1567	60462	16658
1568	60496	16618
1569	60529	16578
1570	60565	16538
1571	60606	16500
1572	60638	16460
1573	60668	16419
1574	60704	16380
1575	60740	16341
1576	60774	16301
1577	60810	16262
1578	60847	16223
1579	60880	16183
1580	60917	16144
1581	60957	16106
1582	60989	16066
1583	61025	16026
1584	61059	15987
1585	61097	15948
1586	61130	15908
1587	61163	15868
1588	61198	15829
1589	61233	15789
1590	61266	15749
1591	61300	15710
1592	61336	15671
1593	61369	15631
1594	61406	15592
1595	61440	15552
1596	61474	15512
1597	61505	15472
1598	61545	15434
1599	61581	15395
1600	61632	15359
1601	61666	15320
1602	61698	15280
1603	61736	15241
1604	61773	15202
1605	61809	15163
1606	61844	15124
1607	61877	15084
1608	61912	15045
1609	61949	15006
1610	61981	14966
1611	62017	14927
1612	62055	14888
1613	62089	14849
1614	62126	14810
1615	62164	14771
1616	62198	14732
1617	62230	14692
1618	62265	14653
1619	62301	14613
1620	62337	14574
1621	62372	14535
1622	62410	14497
1623	62442	14457
1624	62476	14417
1625	62510	14378
1626	62542	14338
1627	62567	14296
1628	62600	14257
1629	62635	14217
1630	62669	14178
1631	62710	14140
1632	62747	14101
1633	62783	14062
1634	62817	14023
1635	62857	13985
1636	62890	13945
1637	62925	13906
1638	62959	13867
1639	62994	13827
1640	63027	13788
1641	63073	13751
1642	63108	13712
1643	63157	13676
1644	63189	13636
1645	63228	13598
1646	63260	13558
1647	63296	13519
1648	63331	13480
1649	63363	13440
1650	63405	13403
1651	63445	13365
1652	63482	13326
1653	63518	13287
1654	63554	13248
1655	63595	13210
1656	63631	13171
1657	63666	13132
1658	63701	13093
1659	63737	13054
1660	63774	13015
1661	63808	12976
